urls,ingredients,amount,units,pareto,purchase_unit,spice,price,purchase_size,individual_price,fullfillment
https://www.valdemarsro.dk/salt-karamel-is/,piskefløde,75.0,g,True,ml,0.0,500.0,27.0,1500.0,0.7142857142857143
https://www.valdemarsro.dk/snickerskage/,piskefløde,65.0,g,True,ml,0.0,500.0,27.0,1500.0,0.8461538461538461
https://www.valdemarsro.dk/snickerskage/,piskefløde,75.0,g,True,ml,0.0,500.0,27.0,1500.0,0.8461538461538461
https://www.valdemarsro.dk/pistacieis/,piskefløde,1.5,dl,True,ml,0.0,500.0,27.0,500.0,0.8333333333333334
https://www.valdemarsro.dk/varm-chokolade/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.6666666666666666
https://www.valdemarsro.dk/pikant-koteletter/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.8125
https://www.valdemarsro.dk/clam-chowder-muslingesuppe/,piskefløde,1.0,dl,True,ml,0.0,500.0,27.0,500.0,0.8421052631578947
https://www.valdemarsro.dk/fiskelasagne/,piskefløde,0.75,dl,True,ml,0.0,500.0,27.0,500.0,0.8095238095238095
https://www.valdemarsro.dk/bailey-fromage/,piskefløde,0.75,dl,True,ml,0.0,500.0,27.0,500.0,0.75
https://www.valdemarsro.dk/saltkarameller/,piskefløde,2.5,dl,True,ml,0.0,500.0,27.0,500.0,0.5
https://www.valdemarsro.dk/fiskefad-med-torsk-og-porrer/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.9166666666666666
https://www.valdemarsro.dk/chokoladetroeffel-med-hasselnoeddeknas/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.8333333333333334
https://www.valdemarsro.dk/floedekartofler/,piskefløde,0.25,liter,True,ml,0.0,500.0,27.0,500.0,1.0
https://www.valdemarsro.dk/hjemmelavet-vaniljeis/,piskefløde,2.5,dl,True,ml,0.0,500.0,27.0,500.0,0.8
https://www.valdemarsro.dk/mulligatawny-suppe/,piskefløde,1.0,dl,True,ml,0.0,500.0,27.0,500.0,0.9333333333333332
https://www.valdemarsro.dk/hurtig-lasagne/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.9375
https://www.valdemarsro.dk/fyldte-chokolader/,piskefløde,2.0,spsk,True,ml,0.0,500.0,27.0,500.0,0.5454545454545454
https://www.valdemarsro.dk/kylling-pastasuppe-med-groentsager/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.85
https://www.valdemarsro.dk/hakkeboeffer-i-fad/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.8
https://www.valdemarsro.dk/den-nemmeste-sommerpasta/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,1.0
https://www.valdemarsro.dk/eclairs/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.75
https://www.valdemarsro.dk/talkage/,piskefløde,1.0,dl,True,ml,0.0,500.0,27.0,500.0,0.5625
https://www.valdemarsro.dk/iced-dolce-latte/,piskefløde,0.5,spsk,True,ml,0.0,500.0,27.0,500.0,0.5
https://www.valdemarsro.dk/hoensefrikasse/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.6875
https://www.valdemarsro.dk/boef-stroganoff/,piskefløde,1.0,dl,True,ml,0.0,500.0,27.0,500.0,0.8125
https://www.valdemarsro.dk/chokoladescones/,piskefløde,2.0,spsk,True,ml,0.0,500.0,27.0,500.0,0.75
https://www.valdemarsro.dk/blaabaerscones/,piskefløde,0.125,dl,True,ml,0.0,500.0,27.0,500.0,0.7777777777777778
https://www.valdemarsro.dk/frisk-pasta-med-kantareller-og-flode-hurtig-pastaret/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.7142857142857143
https://www.valdemarsro.dk/jordbaer-med-floede-og-myntesukker/,piskefløde,1.0,dl,True,ml,0.0,500.0,27.0,500.0,0.5
https://www.valdemarsro.dk/jordbaertaerte/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.7692307692307693
https://www.valdemarsro.dk/blommetrifli/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.7
https://www.valdemarsro.dk/irish-coffee-med-kahlua/,piskefløde,0.5,dl,True,ml,0.0,500.0,27.0,500.0,0.2222222222222222
https://www.valdemarsro.dk/pinjekerneis/,piskefløde,1.5,dl,True,ml,0.0,500.0,27.0,500.0,1.0
https://www.valdemarsro.dk/hindbaermoussekage/,piskefløde,2.5,dl,True,ml,0.0,500.0,27.0,500.0,0.5714285714285714
